,0:H0,0:H1,0:H2,0:H3,0:H4,0:H5,1:H0,1:H1,1:H2,1:H3,1:H4,1:H5,2:H0,2:H1,2:H2,2:H3,2:H4,2:H5,
Step-0,803,807,812,810,810,859,807,808,812,804,806,857,242,799,799,800,797,875, 
Step-1,802,807,812,810,810,859,806,808,812,803,806,857,265,799,799,799,797,875, 
Step-2,803,807,812,810,810,859,807,808,811,803,806,857,255,800,799,800,797,875, 
Step-3,803,807,812,810,810,859,806,808,812,803,806,857,255,799,799,800,797,875, 
Step-4,803,807,812,810,810,859,807,808,812,804,806,857,263,800,799,800,797,875, 
Step-5,802,807,812,810,810,860,806,807,812,804,806,857,274,799,799,800,798,875, 
Step-6,802,807,812,810,810,859,806,808,812,804,806,857,275,800,799,799,797,875, 
Step-7,803,807,812,810,810,859,806,808,812,804,806,857,274,800,799,799,797,875, 
Step-8,802,807,812,810,810,859,806,808,812,803,806,856,273,800,799,799,797,875, 
Step-9,803,807,812,810,810,859,807,808,811,804,806,857,275,800,799,800,797,875, 
Step-10,802,807,812,810,811,859,806,808,811,803,806,857,274,800,799,800,798,875, 
Step-11,802,807,812,810,810,859,806,808,811,803,806,857,275,799,799,800,797,875, 
Step-12,803,807,812,810,810,859,806,808,811,804,806,856,275,799,799,800,798,875, 
Step-13,803,807,812,810,810,859,806,808,811,803,806,856,275,799,800,800,798,875, 
Step-14,802,807,812,810,811,859,806,808,812,804,806,856,276,799,799,800,798,875, 
Step-15,802,807,812,810,810,859,806,808,811,804,806,856,276,800,799,800,797,875, 
Step-16,803,807,812,810,811,859,806,808,811,803,806,856,275,799,799,800,797,875, 
Step-17,803,807,812,810,810,859,806,808,811,804,806,857,275,799,799,799,797,875, 
Step-18,803,807,812,810,810,859,806,808,812,804,806,856,276,800,799,799,797,875, 
Step-19,802,807,812,810,810,859,806,808,811,803,806,856,275,800,799,799,797,875, 
Step-20,803,807,812,810,811,859,806,808,812,804,806,856,275,800,799,799,797,875, 
Step-21,803,807,812,810,810,859,806,808,811,803,806,856,275,799,799,799,798,875, 
Step-22,803,807,812,810,810,859,806,808,812,804,806,855,275,800,799,800,797,875, 
Step-23,803,807,812,810,810,860,806,808,812,804,806,855,275,800,799,799,797,875, 
Step-24,803,807,812,810,810,859,806,808,811,803,806,856,275,799,799,799,797,875, 
Step-25,802,807,812,810,811,859,806,808,812,804,806,856,274,799,799,799,798,875, 
Step-26,803,807,812,810,810,859,806,808,812,804,806,856,275,800,799,800,797,875, 
Step-27,803,807,812,810,810,859,806,808,812,804,806,857,274,800,799,800,797,875, 
Step-28,803,807,812,810,810,859,806,808,811,804,806,857,274,799,799,799,797,875, 
Step-29,803,807,812,809,810,859,806,808,811,804,806,857,275,800,799,800,798,875, 
Step-30,803,807,812,810,811,860,806,808,812,804,806,857,275,799,799,800,798,875, 
Step-31,803,807,812,810,810,859,806,808,811,804,806,857,274,799,799,799,797,875, 
Step-32,803,807,812,810,810,859,806,808,812,804,806,857,273,799,799,799,797,875, 
Step-33,803,807,812,810,810,859,806,808,812,803,806,857,273,799,799,799,797,875, 
Step-34,803,807,812,810,810,859,806,808,812,804,806,857,272,799,799,799,797,875, 
Step-35,803,807,812,810,810,859,806,808,812,804,806,857,272,799,799,800,798,875, 
Step-36,803,808,812,809,810,860,806,808,811,804,806,857,272,799,799,799,797,875, 
Step-37,803,807,812,810,810,859,806,808,811,803,806,857,272,799,799,800,798,875, 
Step-38,802,807,812,810,810,859,806,808,811,803,806,857,273,800,799,800,797,875, 
Step-39,803,807,812,810,811,859,806,808,812,804,806,857,272,799,799,799,797,875, 
Step-40,803,807,812,810,811,859,806,808,811,804,806,858,273,799,799,800,797,875, 
Step-41,803,807,812,810,810,859,806,808,811,804,806,857,272,799,799,800,798,875, 
Step-42,802,807,812,810,810,859,806,808,812,804,806,857,272,799,799,799,797,875, 
Step-43,802,807,812,810,810,860,806,808,811,804,806,858,273,800,799,799,797,875, 
Step-44,803,807,812,810,811,859,806,808,811,803,806,858,272,800,799,799,797,875, 
Step-45,803,807,812,810,810,859,806,808,812,804,806,857,271,799,799,799,798,875, 
Step-46,803,807,812,810,810,859,806,808,811,803,806,857,272,799,799,800,798,875, 
Step-47,803,807,812,810,810,859,806,808,811,803,806,858,272,800,799,799,797,875, 
Step-48,803,807,812,810,810,859,806,808,812,803,806,857,272,800,799,799,797,875, 
Step-49,803,807,812,810,810,860,806,808,811,803,806,858,269,799,799,800,797,875, 
Step-50,803,807,812,810,810,859,806,808,812,804,806,857,268,800,799,799,797,875, 
Step-51,802,807,811,809,810,859,805,807,811,803,806,857,269,799,798,799,797,875, 
Step-52,802,806,811,809,810,859,805,807,811,803,805,857,269,798,798,799,797,874, 
Step-53,802,806,811,809,810,859,805,807,811,803,805,857,269,798,798,799,797,875, 
Step-54,802,806,811,809,809,859,805,807,810,803,805,857,269,798,798,799,797,874, 
Step-55,802,806,811,809,810,859,805,807,811,803,805,857,269,798,798,799,796,875, 
Step-56,801,806,811,809,810,859,804,807,811,803,805,857,268,798,798,799,797,875, 
Step-57,802,806,811,809,810,859,804,806,811,802,805,857,270,798,798,799,796,875, 
Step-58,801,806,811,809,810,859,804,807,811,803,805,857,269,798,797,799,796,875, 
Step-59,801,805,811,809,810,859,804,806,811,803,805,857,269,798,798,798,797,875, 
Step-60,801,806,811,809,810,859,804,806,811,803,805,857,267,798,797,798,797,875, 
Step-61,801,805,811,809,810,859,804,806,810,802,805,858,265,797,798,798,796,875, 
Step-62,801,806,811,809,810,859,803,806,810,802,805,858,269,797,797,798,796,875, 
Step-63,800,805,811,809,810,859,803,806,810,802,805,858,268,797,797,798,796,875, 
Step-64,800,805,811,809,810,859,803,806,810,802,805,857,270,797,797,798,796,875, 
Step-65,800,805,811,809,810,859,803,806,810,802,805,858,269,797,797,798,796,875, 
Step-66,800,805,811,809,810,859,803,806,810,802,805,858,269,797,797,798,796,875, 
Step-67,799,805,811,809,810,859,803,806,810,802,805,858,270,797,797,798,796,875, 
Step-68,799,805,810,809,810,859,803,806,810,802,805,858,268,797,797,798,796,875, 
Step-69,799,805,810,809,810,859,802,805,810,802,805,858,268,796,796,798,796,875, 
Step-70,799,805,810,808,809,859,802,805,810,802,805,858,268,796,796,798,796,875, 
Step-71,799,805,810,808,809,859,802,805,810,802,805,858,268,796,796,798,796,875, 
Step-72,799,804,810,808,810,859,802,805,810,802,805,858,271,796,796,798,796,876, 
Step-73,798,804,810,808,809,859,801,805,810,802,805,858,271,796,796,797,796,875, 
Step-74,798,804,810,808,810,859,801,805,809,802,805,858,271,795,796,797,796,876, 
Step-75,798,804,810,808,809,859,801,805,809,802,805,859,270,795,796,797,795,875, 
Step-76,798,804,809,808,809,859,801,805,809,801,804,858,270,795,795,797,796,876, 
Step-77,797,804,810,808,809,859,801,805,809,801,805,858,273,795,795,797,796,876, 
Step-78,797,804,809,808,809,859,800,805,809,801,805,858,270,795,795,797,795,876, 
Step-79,797,803,810,808,809,859,800,804,809,801,805,858,270,794,795,797,796,875, 
Step-80,797,803,810,808,809,859,800,804,809,801,805,858,270,794,795,797,796,875, 
Step-81,797,803,809,808,809,859,800,804,809,801,805,859,270,794,795,797,795,876, 
Step-82,796,803,809,808,809,859,800,804,809,801,804,858,286,794,795,797,795,876, 
Step-83,796,803,809,807,809,859,799,804,809,801,804,859,287,794,795,797,795,876, 
Step-84,796,803,809,807,809,859,799,804,809,801,805,859,288,794,794,797,795,876, 
Step-85,796,803,809,807,809,859,799,804,809,801,804,859,288,793,794,796,795,876, 
Step-86,795,803,809,807,809,859,798,803,809,801,805,859,288,793,794,796,795,876, 
Step-87,795,802,809,807,809,860,798,803,808,801,804,859,288,793,794,796,795,876, 
Step-88,795,802,808,807,809,860,798,803,809,800,804,859,287,792,794,796,795,876, 
Step-89,794,802,808,807,809,859,797,803,808,800,804,859,289,792,794,796,795,877, 
Step-90,794,802,809,807,809,859,797,803,808,800,804,859,289,792,794,796,795,876, 
Step-91,794,802,808,807,809,859,797,803,808,800,804,859,288,792,793,796,795,876, 
Step-92,793,801,808,807,809,860,796,803,808,800,804,859,289,791,793,796,795,876, 
Step-93,793,801,808,807,809,860,796,802,808,800,804,859,289,791,793,796,795,876, 
Step-94,793,801,808,807,809,859,796,802,808,800,804,859,289,791,793,796,795,877, 
Step-95,792,801,808,807,809,860,796,802,808,800,804,859,289,791,793,796,794,876, 
Step-96,792,801,808,806,809,860,795,802,807,800,804,860,289,791,793,795,794,877, 
Step-97,792,800,807,806,809,860,795,801,807,799,803,859,288,790,793,795,794,877, 
Step-98,791,800,807,806,809,860,794,802,807,800,804,859,288,790,792,795,794,876, 
Step-99,791,800,808,806,808,860,794,801,807,799,803,860,288,790,792,795,794,877, 
Step-100,791,800,807,806,808,860,794,801,806,799,804,860,288,790,793,795,794,877, 
Step-101,790,800,807,806,808,860,793,801,807,799,803,860,288,789,792,795,794,877, 
Step-102,790,799,807,806,808,860,793,800,807,799,803,860,287,789,791,795,794,877, 
Step-103,789,799,807,806,808,860,792,800,806,799,803,860,288,789,791,795,794,877, 
Step-104,789,799,807,806,808,860,792,800,807,798,803,860,288,788,791,795,794,877, 
Step-105,788,799,806,806,808,860,792,799,806,799,803,860,288,788,791,794,794,877, 
Step-106,788,798,806,806,808,860,791,800,806,799,803,860,289,788,791,794,794,877, 
Step-107,788,798,806,805,808,860,791,799,806,798,803,860,288,787,791,794,793,877, 
Step-108,787,798,806,806,808,860,790,799,806,798,803,860,289,787,790,794,793,877, 
Step-109,787,797,806,805,808,860,790,799,806,798,803,860,289,787,790,794,793,877, 
Step-110,786,797,806,805,808,860,789,798,805,798,803,860,289,787,790,794,794,877, 
