,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,12576,12576,12528,12544,12528,12576,12592,12560,12512,12608,12576,12528,12480,12528,12528,12576,12480,12528
1,12592,12592,12576,12576,12496,12576,12640,12592,12512,12576,12576,12608,12560,12512,12512,12624,12544,12512
2,12560,12544,12576,12576,12496,12528,12624,12608,12544,12560,12576,12592,12624,12544,12512,12544,12560,12576
3,12592,12512,12560,12624,12544,12528,12560,12608,12576,12576,12512,12560,12592,12576,12512,12496,12528,12560
4,12640,12528,12496,12592,12560,12560,12592,12544,12576,12640,12576,12512,12544,12576,12576,12560,12480,12560
5,12672,12576,12544,12528,12528,12592,12592,12544,12528,12592,12592,12560,12560,12528,12560,12592,12496,12512
6,12576,12608,12608,12576,12496,12560,12624,12576,12512,12560,12576,12592,12560,12512,12496,12576,12576,12544
7,12608,12560,12592,12624,12512,12512,12608,12592,12560,12560,12496,12560,12608,12544,12496,12528,12544,12576
8,12640,12544,12544,12608,12560,12512,12576,12576,12576,12608,12528,12528,12608,12592,12528,12544,12512,12560
9,12656,12560,12512,12608,12560,12592,12560,12528,12544,12608,12576,12512,12576,12544,12592,12544,12512,12528
10,12640,12624,12576,12576,12512,12576,12672,12624,12544,12560,12560,12592,12656,12544,12512,12544,12528,12576
11,12672,12560,12496,12592,12576,12608,12608,12576,12512,12624,12640,12576,12592,12528,12544,12608,12560,12528
12,12608,12560,12592,12640,12528,12544,12544,12592,12592,12640,12544,12528,12624,12592,12608,12576,12480,12512
13,12656,12592,12592,12576,12512,12576,12656,12656,12560,12560,12544,12576,12640,12512,12496,12576,12544,12544
14,12560,12528,12576,12624,12544,12512,12608,12592,12592,12592,12512,12560,12576,12560,12496,12496,12528,12592
15,12624,12512,12528,12624,12576,12560,12560,12576,12576,12624,12528,12496,12544,12608,12560,12528,12496,12576
16,12672,12576,12544,12576,12560,12576,12608,12528,12560,12624,12576,12512,12560,12592,12576,12560,12480,12496
17,12656,12608,12592,12592,12496,12544,12672,12624,12560,12576,12544,12576,12592,12592,12512,12528,12496,12576
18,12688,12576,12528,12576,12560,12592,12624,12544,12496,12576,12576,12544,12544,12528,12560,12608,12528,12496
19,12576,12576,12592,12560,12496,12544,12640,12608,12528,12544,12576,12592,12624,12480,12528,12592,12560,12528
20,12544,12560,12576,12640,12512,12496,12576,12624,12544,12560,12512,12576,12608,12560,12480,12512,12512,12576
21,12640,12528,12560,12624,12576,12544,12528,12560,12576,12624,12560,12512,12576,12576,12560,12528,12496,12560
22,12640,12560,12544,12576,12544,12592,12576,12544,12560,12624,12592,12528,12544,12544,12576,12576,12480,12512
23,12656,12592,12576,12544,12512,12576,12688,12608,12512,12592,12608,12592,12528,12496,12528,12576,12528,12512
24,12528,12560,12576,12592,12480,12512,12640,12624,12544,12544,12560,12592,12592,12496,12480,12544,12576,12576
25,12560,12544,12576,12640,12528,12512,12576,12608,12576,12592,12528,12576,12624,12592,12512,12496,12480,12560
26,12640,12528,12496,12592,12576,12560,12576,12544,12576,12624,12544,12528,12592,12576,12592,12528,12496,12544
27,12656,12608,12544,12544,12560,12608,12608,12560,12528,12624,12624,12576,12544,12544,12576,12608,12528,12512
28,12640,12608,12592,12576,12512,12560,12624,12592,12512,12560,12592,12608,12544,12496,12512,12576,12560,12512
29,12576,12592,12592,12624,12512,12496,12608,12624,12544,12560,12528,12592,12624,12560,12512,12528,12544,12560
30,12624,12528,12528,12592,12592,12592,12608,12560,12528,12624,12608,12576,12560,12512,12544,12608,12544,12528
31,12608,12576,12592,12640,12544,12544,12592,12624,12592,12576,12512,12528,12608,12592,12544,12528,12512,12576
32,12656,12528,12512,12592,12560,12560,12560,12544,12560,12624,12576,12544,12544,12576,12592,12544,12496,12528
33,12688,12608,12544,12544,12528,12560,12672,12608,12528,12576,12576,12608,12624,12576,12512,12528,12560,12608
34,12640,12544,12528,12608,12592,12608,12608,12576,12544,12608,12624,12576,12576,12496,12544,12592,12528,12512
35,12528,12576,12592,12592,12496,12512,12624,12640,12512,12560,12560,12592,12640,12496,12464,12576,12576,12544
36,12560,12512,12560,12640,12528,12528,12576,12624,12608,12608,12544,12528,12608,12592,12560,12560,12480,12528
37,12656,12624,12560,12576,12512,12560,12640,12624,12528,12560,12576,12592,12656,12576,12512,12528,12528,12608
38,12640,12544,12528,12592,12576,12592,12592,12528,12560,12640,12576,12544,12496,12544,12560,12576,12480,12512
39,12672,12608,12560,12560,12512,12560,12704,12576,12512,12608,12592,12576,12528,12480,12528,12608,12544,12496
40,12576,12592,12608,12592,12496,12528,12656,12624,12544,12560,12560,12576,12560,12512,12496,12560,12560,12528
41,12528,12544,12592,12624,12512,12512,12592,12624,12592,12592,12544,12560,12624,12640,12560,12544,12496,12560
42,12640,12592,12560,12560,12544,12592,12688,12592,12512,12560,12592,12592,12608,12544,12512,12560,12544,12608
